Store,Item,Forecasted_Sales,Historical_Average,Decision_Score,Risk_Score,Risk_Level,Business_Category,Priority_Rank,Priority_Level,Operational_Action,Explanation_Forecast,Explanation_SHAP,Explanation_Trend,Explanation_Risk
6,40,23.79,21.5,71.32,14.64,Low Risk,Growth Opportunity,1,High Priority,Increase inventory by 10.7% to meet predicted demand surge,Forecasted demand is 10.7% higher than historical averages,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (22.0) exceeds 30-day baseline (20.0),Low forecast uncertainty: minimal volatility observed in predictions
4,4,24.6,22.54,69.82,14.12,Low Risk,Growth Opportunity,2,High Priority,Increase inventory by 9.1% to meet predicted demand surge,Forecasted demand is 9.1% higher than historical averages,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (23.6) exceeds 30-day baseline (21.1),Low forecast uncertainty: minimal volatility observed in predictions
6,27,16.83,16.37,68.03,6.02,Low Risk,Growth Opportunity,3,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (16.6) exceeds 30-day baseline (14.3),Low forecast uncertainty: minimal volatility observed in predictions
4,47,24.21,22.52,65.52,14.02,Low Risk,Growth Opportunity,4,High Priority,Increase inventory by 7.5% to meet predicted demand surge,Forecasted demand is 7.5% higher than historical averages,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (22.6) exceeds 30-day baseline (20.9),Low forecast uncertainty: minimal volatility observed in predictions
7,17,22.84,22.31,64.95,13.81,Low Risk,Growth Opportunity,5,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (23.0) exceeds 30-day baseline (19.5),Low forecast uncertainty: minimal volatility observed in predictions
3,11,81.73,77.34,64.39,67.41,High Risk,Strategic Monitoring,6,High Priority,Increase inventory by 5.7% to meet predicted demand surge,Forecasted demand is 5.7% higher than historical averages,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (75.9) exceeds 30-day baseline (67.2),Elevated uncertainty: historical sales show significant variance
2,47,29.86,27.62,63.54,17.24,Low Risk,Growth Opportunity,7,High Priority,Increase inventory by 8.1% to meet predicted demand surge,Forecasted demand is 8.1% higher than historical averages,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (27.0) exceeds 30-day baseline (25.2),Low forecast uncertainty: minimal volatility observed in predictions
8,5,22.98,21.81,63.47,10.58,Low Risk,Growth Opportunity,8,High Priority,Increase inventory by 5.4% to meet predicted demand surge,Forecasted demand is 5.4% higher than historical averages,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (21.9) exceeds 30-day baseline (20.0),Low forecast uncertainty: minimal volatility observed in predictions
9,27,23.74,22.88,63.46,12.87,Low Risk,Growth Opportunity,9,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (22.3) exceeds 30-day baseline (19.9),Low forecast uncertainty: minimal volatility observed in predictions
3,24,77.13,73.27,62.86,66.9,High Risk,Strategic Monitoring,10,High Priority,Increase inventory by 5.3% to meet predicted demand surge,Forecasted demand is 5.3% higher than historical averages,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (74.1) exceeds 30-day baseline (65.5),Elevated uncertainty: historical sales show significant variance
