Store,Item,Category,Forecasted_Sales,Historical_Average,Growth_Rate_pct,Primary_Action,Severity_Level,Trend_Advice,Seasonality_Advice,Confidence_Score_pct,SHAP_Reason
5,50,Health & Beauty,49.85,49.01,1.72,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
10,48,Health & Beauty,55.69,56.43,-1.31,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,7,Electronics,59.39,60.21,-1.37,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,8,Electronics,78.24,78.7,-0.58,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,9,Electronics,53.93,52.87,2.0,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,10,Electronics,73.13,75.31,-2.89,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,11,Apparel,75.97,71.58,6.14,Increase inventory levels,Medium,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and sales_lag_7 show strong upward demand trend.
4,12,Apparel,72.5,71.43,1.5,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,13,Apparel,87.06,86.79,0.31,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,14,Apparel,59.31,60.35,-1.72,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,15,Apparel,91.46,90.39,1.19,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,16,Apparel,24.18,26.53,-8.85,Reduce procurement volume,Medium,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and rolling_mean_30 show a declining demand trend.
4,17,Apparel,31.32,33.81,-7.38,Reduce procurement volume,Medium,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and rolling_mean_30 show a declining demand trend.
4,18,Apparel,86.71,86.34,0.43,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,19,Apparel,42.75,41.47,3.08,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
